30;"â¦...";"/html/body/div[1]/div/main/div[2]/article/div/blockquote[4]";150
31;"de.rt.com/europa/126170-selenskij-berater-warnt-kreml-krieg/...";"/html/body/div[1]/div/main/div[2]/article/div/blockquote[4]";175
32;"Hier eskaliert ein Konflikt, von dem wir direkt betroffen sein werden. Auch...";"/html/body/div[1]/div/main/div[2]/article/div";175
33;"Im Falle von NATO-Beitritt der Ukraine: Kreml warnt vor aktiven Maßnahmen
...";"/html/body/div[1]/div/main/div[2]/article/div";225
34;"Im Falle von NATO-Beitritt der Ukraine: Kreml warnt vor aktiven Maßnahmen...";"/html/body/div[1]/div/main/div[2]/article/div/blockquote[5]";125
35;"18 Okt. 2021 19:52 Uhr...";"/html/body/div[1]/div/main/div[2]/article/div/blockquote[5]";150
36;"Der Pressesprecher des russischen Präsidenten Dmitri Peskow hat erklärt, ...";"/html/body/div[1]/div/main/div[2]/article/div/blockquote[5]";225
37;"de.rt.com/russland/125865-im-falle-von-nato-beitritt-der-ukraine-nato-warnt...";"/html/body/div[1]/div/main/div[2]/article/div/blockquote[5]";175
38;"und hier:...";"/html/body/div[1]/div/main/div[2]/article/div";100
39;"NATO-Beitritt der Ukraine: Eine Giftpille für das Bündnis?
26 Okt. 2021 0...";"/html/body/div[1]/div/main/div[2]/article/div";225
40;"NATO-Beitritt der Ukraine: Eine Giftpille für das Bündnis?...";"/html/body/div[1]/div/main/div[2]/article/div/blockquote[6]";125
41;"26 Okt. 2021 06:45 Uhr...";"/html/body/div[1]/div/main/div[2]/article/div/blockquote[6]";150
42;"Russlands Position zu den Hoffnungen der Ukraine auf einen NATO-Beitritt is...";"/html/body/div[1]/div/main/div[2]/article/div/blockquote[6]";225
43;"â¦...";"/html/body/div[1]/div/main/div[2]/article/div/blockquote[6]";150
44;"de.rt.com/international/126160-nato-beitritt-der-ukraine-giftpille-fuer-das...";"/html/body/div[1]/div/main/div[2]/article/div/blockquote[6]";175
45;"Wir bräuchten die Informationen von RT Deutsch nicht oder jedenfalls nicht...";"/html/body/div[1]/div/main/div[2]/article/div";200
46;"Leider brauchen wir bessere Informationen und wir brauchen den âandere...";"/html/body/div[1]/div/main/div[2]/article/div";200
47;"Rubriken:...";"/html/body/div[1]/div/main/div[2]/div[2]/div[2]";75
48;"SchlagwÃ¶rter:...";"/html/body/div[1]/div/main/div[2]/div[2]/div[2]";100
49;"Die NachDenkSeiten sind fÃ¼r eine kritische Meinungsbildung wichtig, das ...";"/html/body/div[1]/div/main/div[2]/div[2]/div[4]";125
50;"Beim Erscheinen eines neuen Artikels erhalten Sie eine Benachrichtigung per...";"/html/body/div[1]/div/main/div[3]/div[11]/form/div";0
51;"E-Mail-Adresse...";"/html/body/div[1]/div/main/div[3]/div[11]/form";0
52;"Abonnieren...";"/html/body/div[1]/div/main/div[3]/div[11]/form";0
